Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
-0.12,-0.99,-0.1,-0.03,0.03,-0.03,1.41,-0.86,0.4,0.19,0.16,0.02,setBreak,setBreak,2017-04-28 08:30:56:569,3
-0.12,-0.99,-0.09,-0.08,-0.02,0.0,1.42,-0.93,0.51,0.13,0.63,-0.03,setBreak,setBreak,2017-04-28 08:30:56:670,3
-0.12,-0.99,-0.09,0.08,-0.05,0.03,1.42,-0.89,0.51,-0.06,0.2,-0.15,setBreak,setBreak,2017-04-28 08:30:56:771,3
-0.1,-0.99,-0.11,0.09,-0.05,0.02,1.43,-0.73,0.36,-0.18,0.03,-0.21,setBreak,setBreak,2017-04-28 08:30:56:871,3
-0.07,-0.99,-0.13,0.06,-0.04,0.05,1.43,-0.48,0.11,-0.23,-0.11,-0.03,setBreak,setBreak,2017-04-28 08:30:56:972,3
-0.08,-0.99,-0.14,0.06,-0.03,0.11,1.41,-0.51,0.11,-0.08,-0.45,0.15,setBreak,setBreak,2017-04-28 08:30:57:071,3
-0.08,-0.99,-0.1,0.05,-0.01,0.05,1.45,-0.68,0.22,0.07,-0.62,0.22,setBreak,setBreak,2017-04-28 08:30:57:171,3
-0.08,-0.99,-0.07,0.01,-0.03,-0.01,1.47,-0.85,0.34,0.22,-0.41,-0.03,setBreak,setBreak,2017-04-28 08:30:57:271,3
-0.07,-1.0,-0.04,-0.11,-0.0,-0.06,1.49,-1.04,0.51,0.29,0.03,-0.14,setBreak,setBreak,2017-04-28 08:30:57:370,3
-0.05,-1.0,-0.01,-0.17,0.0,-0.09,1.52,-1.35,0.87,0.32,0.68,-0.1,setBreak,setBreak,2017-04-28 08:30:57:474,3
-0.05,-1.0,0.02,-0.03,-0.01,-0.16,1.52,-1.9,1.48,0.33,0.54,0.03,setBreak,setBreak,2017-04-28 08:30:57:570,3
-0.06,-1.0,0.04,0.01,-0.03,-0.19,1.5,-2.16,1.79,0.09,0.09,0.14,setBreak,setBreak,2017-04-28 08:30:57:670,3
-0.08,-1.0,-0.0,-0.05,-0.01,-0.14,1.49,-1.52,1.11,-0.23,-0.42,0.4,setBreak,setBreak,2017-04-28 08:30:57:770,3
-0.13,-0.99,-0.03,-0.01,-0.01,-0.09,1.44,-1.36,0.9,-0.28,-0.56,0.45,setBreak,setBreak,2017-04-28 08:30:57:871,3
-0.16,-0.99,-0.04,-0.0,0.02,-0.05,1.4,-1.3,0.81,-0.14,-0.22,0.11,setBreak,setBreak,2017-04-28 08:30:57:971,3
-0.16,-0.99,-0.05,-0.03,0.04,-0.06,1.4,-1.28,0.76,-0.04,-0.19,-0.07,setBreak,setBreak,2017-04-28 08:30:58:072,3
-0.16,-0.99,-0.06,-0.07,0.02,-0.07,1.4,-1.22,0.7,0.11,0.21,-0.17,setBreak,setBreak,2017-04-28 08:30:58:170,3
-0.17,-0.98,-0.07,-0.04,0.01,-0.05,1.39,-1.18,0.69,0.19,0.26,-0.21,setBreak,setBreak,2017-04-28 08:30:58:270,3
-0.16,-0.98,-0.07,-0.02,-0.0,-0.04,1.39,-1.14,0.68,0.16,0.17,-0.11,setBreak,setBreak,2017-04-28 08:30:58:372,3
-0.16,-0.98,-0.07,-0.01,-0.0,-0.03,1.4,-1.15,0.69,0.11,-0.01,0.0,setBreak,setBreak,2017-04-28 08:30:58:471,3
-0.16,-0.98,-0.06,-0.02,-0.01,-0.04,1.4,-1.2,0.75,0.04,-0.0,0.07,setBreak,setBreak,2017-04-28 08:30:58:571,3
-0.17,-0.98,-0.08,0.01,-0.0,-0.02,1.38,-1.15,0.69,0.05,-0.27,0.03,setBreak,setBreak,2017-04-28 08:30:58:672,3
-0.18,-0.98,-0.07,0.0,-0.02,-0.01,1.38,-1.21,0.71,-0.01,-0.06,0.13,setBreak,setBreak,2017-04-28 08:30:58:771,3
-0.18,-0.98,-0.07,-0.02,-0.01,0.0,1.38,-1.2,0.74,0.04,0.57,-0.05,setBreak,setBreak,2017-04-28 08:30:58:871,3
